start	end	text
0	2000	Děkuji.
30000	32000	Děkuji.
60000	62000	Děkuji.
90000	92000	Děkuji.
120000	122000	Děkuji.
150000	152000	Doba vystoupení čtyři minuty.
152000	154000	Máte slovo.
154000	160000	Dobrý den, vážený pane primátore, vážení členové zastupitelstva města Zlína.
160000	171000	Dříve, než jsem na minulém jednání zastupitelstva znesl svoji přípomínku k nelogickému zákazu přepravy elektrokol ve Zlínské MHD,
171000	180000	uvažoval jsem o tom, že tuhle věc vyřeším s ředitelem dopravní společnosti, panem Mířem Kocháněm,
180000	187000	s níž se znám přes 20 let a měl jsem s ní vždy korektní a snad i přátelský vztah,
187000	191000	který doufám i do budoucna zůstane nezměněn.
191000	201000	Jenže jsem si uvědomil, že 20 let té ředitelování dopravní společnosti i do jisté míry muselo v profesně i myšlenkově ovlivnit,
201000	208000	a proto jsem raději předstoupil před vás jako nezávislé a objektivní arbitry.
208000	212000	A odpověď mi přišla. Hádejte odkud?
212000	216000	Z dopravní společnosti podepsaná panem Mířem Kocháněm.
216000	222000	Úsměvné a snad i trochu alibistické odvedení města.
222000	229000	Takže je myslím logické, že ta odpověď byla zcela účelová a bylo v ní spousta polopravd,
229000	235000	nechci říkat přímo nepravd, ale abych se o ně s vámi podělil,
235000	239000	na to mi v mých čtyřech minutách nedáváte žádný prostor.
239000	246000	Můžeme to osobně, detálně rozebrat, klídně i za přítomnosti pana ředitele.
246000	249000	Takže zpět k elektrokolům.
249000	255000	Tato byla v síti Zlínské MHD přepravována zhruba 10 let,
255000	261000	takže jich bylo přepraveno určitě vyšší desítky tisíc, možná stovky tisíc.
261000	265000	Ke kolika kolizním situacím kvůli ním došlo?
265000	269000	Odpověď je prostá. Nula.
269000	274000	Můžete namítnout, že v nějakém jiném městě k problému došlo,
274000	278000	jenže tuto námitku já neberu. Proč?
278000	284000	Každoročně čtu, že někde ve světě spadlo letadlo a na zemi zabilo x lidí.
284000	288000	Máme se snad této smrti permanentně obávat?
288000	296000	Před asi třemi lety couvající dodávka v centru Zlína srazila a usmrtila na chodníku starší ženu.
296000	301000	Jsou snad vůli tomu chodníky ve Zlíně zdrojem nebezpečí?
301000	308000	Před dvěma týdny na okraji Zlína v ulici Podrozhlednou divoké prase napadlo a poranilo ženu.
308000	315000	Máme se všichni těto částen Zlína vyhýbat? Ne a ještě jednou ne.
315000	319000	A na závěr mého vystoupení ještě jedna prozba.
319000	328000	Nedovolte, aby byl podobný zákaz jako u elektrokol aplikován i na elektrické invalidní vozíky
